logFC	logCPM	PValue	FDR	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	DE	Regulation
Eco0775	3.04228355014906	7.69685032358772	5.74119389267163e-14	2.0292912259097e-12	65	54	48	1139	813	514	40.8358272227601	49.3105264692128	42.2297968132028	439.155053830956	425.251791150279	225.989934057146	100	DOWN_CF_UP_NB
Eco0757	-2.93746306679737	9.77123621380354	6.89267569273269e-14	2.39032791004579e-12	1976	1954	1844	732	466	183	1241.40914757191	1784.31053186744	1622.32802757387	282.231342760544	243.748259134108	80.4594512304624	100	UP_CF_DOWN_NB
Eco1731	3.04281553474526	7.13297527946528	6.86953274437828e-14	2.39032791004579e-12	92	17	15	658	433	574	57.7984016075989	15.5236842588262	13.1968115041259	253.69975892956	226.48711631989	252.37008200156	100	DOWN_CF_UP_NB
Eco3631	-3.05819078938724	6.67291545786233	9.6541860800535e-14	3.3167091617081e-12	151	251	266	56	39	56	94.8647678559504	229.202632292082	234.023457339832	21.591468845069	20.399532416803	24.6214714147863	100	UP_CF_DOWN_NB
Eco1623	-3.02788388246897	6.89082883657097	1.06757788777087e-13	3.6337188105979e-12	215	281	288	76	43	61	135.072351582976	256.597369219422	253.378780879217	29.3027077183079	22.4917921518598	26.8198170768208	100	UP_CF_DOWN_NB
Eco1056	-3.02127043767053	6.8188825860481	1.25982126693343e-13	4.24871832774981e-12	203	254	289	63	41	67	127.533429634159	231.942105984816	254.258568312825	24.2904024507026	21.4456622843314	29.4578318712622	100	UP_CF_DOWN_NB
Eco1330	-2.95637718210222	7.85404077586585	1.29540369979594e-13	4.32900363677262e-12	386	677	433	76	59	226	242.501989353622	618.207896660316	380.947958752434	29.3027077183079	30.8608310920866	99.3652239239591	100	UP_CF_DOWN_NB
Eco0711	-2.94849501154666	7.81641633135087	1.45110467288245e-13	4.80564034010441e-12	316	616	510	150	123	78	198.524944652188	562.505264908057	448.69159114028	57.8342915492919	64.3369868529942	34.2941923277381	100	UP_CF_DOWN_NB
Eco0663	2.96942396208708	7.75636671891615	1.52374620276619e-13	5.0011527155076e-12	99	35	56	1185	657	751	62.1961060777423	31.9605264152305	49.2680962820699	456.890903239406	343.653661483067	330.191518437581	100	DOWN_CF_UP_NB
Eco0746	-3.04684073095258	6.18505544589853	3.00688948405509e-13	9.69589977490046e-12	132	204	148	31	34	42	82.9281414369898	186.284211105915	130.208540174042	11.9524202535203	17.7842077479821	18.4661035610897	100	UP_CF_DOWN_NB
